[4;33mReloaded modules[24m: Models, CustomOptimizers[0m
Versione tensorfolow: 2.1.0

SGD-HD, alpha_0=0.1, beta= 0.0001 (MNIST).
Epoch 42, Loss: 0.25913, Accuracy: 92.83, Test Loss: 0.2672, Test Accuracy: 92.39, Time:   6.5s
Epoch 43, Loss: 0.25869, Accuracy: 92.81, Test Loss: 0.26583, Test Accuracy: 92.45, Time:   6.5s
Epoch 44, Loss: 0.25827, Accuracy: 92.83, Test Loss: 0.26595, Test Accuracy: 92.45, Time:   6.4s
Epoch 45, Loss: 0.25794, Accuracy: 92.86, Test Loss: 0.26717, Test Accuracy: 92.46, Time:   6.3s
Epoch 46, Loss: 0.25758, Accuracy: 92.88, Test Loss: 0.2674, Test Accuracy: 92.52, Time:   6.3s
Epoch 47, Loss: 0.25735, Accuracy: 92.86, Test Loss: 0.26705, Test Accuracy: 92.38, Time:   6.6s
Epoch 48, Loss: 0.25662, Accuracy: 92.9, Test Loss: 0.2648, Test Accuracy: 92.43, Time:   6.4s
Epoch 49, Loss: 0.25646, Accuracy: 92.89, Test Loss: 0.26619, Test Accuracy: 92.54, Time:   6.2s
Epoch 50, Loss: 0.25624, Accuracy: 92.93, Test Loss: 0.26543, Test Accuracy: 92.42, Time:   7.0s

SGD-HD, alpha_0=0.001, beta= 0.0001 (MNIST).
Epoch 1, Loss: 0.51569, Accuracy: 85.78, Test Loss: 0.33735, Test Accuracy: 90.63, Time:   8.4s
Epoch 2, Loss: 0.33976, Accuracy: 90.38, Test Loss: 0.30699, Test Accuracy: 91.31, Time:   7.3s
Epoch 3, Loss: 0.31753, Accuracy: 91.08, Test Loss: 0.2959, Test Accuracy: 91.67, Time:   7.2s
Epoch 4, Loss: 0.30608, Accuracy: 91.34, Test Loss: 0.28996, Test Accuracy: 91.77, Time:   7.2s
Epoch 5, Loss: 0.29856, Accuracy: 91.52, Test Loss: 0.28709, Test Accuracy: 91.87, Time:   7.2s
Epoch 6, Loss: 0.29337, Accuracy: 91.72, Test Loss: 0.2824, Test Accuracy: 92.07, Time:   7.2s
Epoch 7, Loss: 0.2892, Accuracy: 91.83, Test Loss: 0.27911, Test Accuracy: 92.09, Time:   7.2s
Epoch 8, Loss: 0.28624, Accuracy: 91.97, Test Loss: 0.28042, Test Accuracy: 92.18, Time:   7.2s
Epoch 9, Loss: 0.28364, Accuracy: 92.04, Test Loss: 0.27776, Test Accuracy: 92.28, Time:   7.1s
Epoch 10, Loss: 0.28112, Accuracy: 92.18, Test Loss: 0.27644, Test Accuracy: 92.09, Time:   7.2s
Epoch 11, Loss: 0.27919, Accuracy: 92.2, Test Loss: 0.27476, Test Accuracy: 92.16, Time:   7.2s
Epoch 12, Loss: 0.27759, Accuracy: 92.18, Test Loss: 0.27516, Test Accuracy: 92.17, Time:   7.0s
Epoch 13, Loss: 0.27596, Accuracy: 92.32, Test Loss: 0.27386, Test Accuracy: 92.23, Time:   7.2s
Epoch 14, Loss: 0.27455, Accuracy: 92.33, Test Loss: 0.2722, Test Accuracy: 92.28, Time:   8.1s
Epoch 15, Loss: 0.27334, Accuracy: 92.34, Test Loss: 0.2717, Test Accuracy: 92.2, Time:   7.7s
Epoch 16, Loss: 0.27236, Accuracy: 92.4, Test Loss: 0.27256, Test Accuracy: 92.14, Time:   7.1s
Epoch 17, Loss: 0.27139, Accuracy: 92.43, Test Loss: 0.27166, Test Accuracy: 92.22, Time:   7.2s
